date,time,pto,Tt@s,pco,Tc@s,Ptv,Tt@v,cycle time,injection time,depth,tubing diameter,oil density,Pt@s,Pt@v,Pc@s
2009.10.29.,17:12:35,1439.518,10.245,7691.012,10.092,5641.95,93.493,60,12,1872,0.062,0.831,1.439518,5.64195,7.691012
2009.10.29.,17:12:40,1439.357,10.246,7692.67,10.089,5647.152,93.257,60,12,1872,0.062,0.831,1.439357,5.647152,7.69267
2009.10.29.,17:12:45,1439.329,10.24,7695.551,10.091,5653.144,93.019,60,12,1872,0.062,0.831,1.439329,5.653144,7.695551
2009.10.29.,17:12:50,1439.31,10.239,7700.815,10.086,5657.278,92.781,60,12,1872,0.062,0.831,1.43931,5.657278,7.700815
2009.10.29.,17:12:55,1439.286,10.236,7706.479,10.086,5662.33,92.542,60,12,1872,0.062,0.831,1.439286,5.66233,7.706479
2009.10.29.,17:13:00,1439.291,10.239,7713.011,10.085,5667.945,92.301,60,12,1872,0.062,0.831,1.439291,5.667945,7.713011
2009.10.29.,17:13:05,1439.285,10.236,7719.622,10.088,5673.689,92.062,60,12,1872,0.062,0.831,1.439285,5.673689,7.719622
2009.10.29.,17:13:10,1439.735,10.236,7727.108,10.085,5678.581,91.817,60,12,1872,0.062,0.831,1.439735,5.678581,7.727108
2009.10.29.,17:13:15,1439.899,10.236,7734.914,10.083,5682.685,91.575,60,12,1872,0.062,0.831,1.439899,5.682685,7.734914
2009.10.29.,17:13:20,1439.99,10.237,7742.856,10.083,5688.883,91.331,60,12,1872,0.062,0.831,1.43999,5.688883,7.742856
2009.10.29.,17:13:25,1439.944,10.232,7750.218,10.08,5693.162,91.09,60,12,1872,0.062,0.831,1.439944,5.693162,7.750218
2009.10.29.,17:13:30,1439.946,10.233,7758.106,10.077,5699.079,90.848,60,12,1872,0.062,0.831,1.439946,5.699079,7.758106
2009.10.29.,17:13:35,1439.904,10.229,7765.752,10.08,5703.875,90.602,60,12,1872,0.062,0.831,1.439904,5.703875,7.765752
2009.10.29.,17:13:40,1439.852,10.231,7774.092,10.078,5709.135,90.35,60,12,1872,0.062,0.831,1.439852,5.709135,7.774092
2009.10.29.,17:13:45,1439.818,10.232,7782.347,10.077,5712.61,90.104,60,12,1872,0.062,0.831,1.439818,5.71261,7.782347
2009.10.29.,17:13:50,1439.838,10.233,7790.167,10.076,5719.915,89.852,60,12,1872,0.062,0.831,1.439838,5.719915,7.790167
2009.10.29.,17:13:55,1440.394,10.232,7798.501,10.078,5724.227,89.598,60,12,1872,0.062,0.831,1.440394,5.724227,7.798501
2009.10.29.,17:14:00,1440.393,10.231,7806.34,10.076,5728.468,89.337,60,12,1872,0.062,0.831,1.440393,5.728468,7.80634
2009.10.29.,17:14:05,1440.39,10.229,7814.004,10.077,5734.387,89.06,60,12,1872,0.062,0.831,1.44039,5.734387,7.814004
2009.10.29.,17:14:10,1440.382,10.225,7822.346,10.074,5738.541,88.762,60,12,1872,0.062,0.831,1.440382,5.738541,7.822346
2009.10.29.,17:14:15,1440.389,10.229,7830.465,10.073,5744.817,88.446,60,12,1872,0.062,0.831,1.440389,5.744817,7.830465
2009.10.29.,17:14:20,1440.32,10.221,7838.551,10.071,5748.939,88.101,60,12,1872,0.062,0.831,1.44032,5.748939,7.838551
2009.10.29.,17:14:25,1440.299,10.219,7846.343,10.068,5753.821,87.732,60,12,1872,0.062,0.831,1.440299,5.753821,7.846343
2009.10.29.,17:14:30,1440.257,10.216,7854.648,10.069,5758.261,87.32,60,12,1872,0.062,0.831,1.440257,5.758261,7.854648
2009.10.29.,17:14:35,1439.802,10.213,7863.016,10.064,5761.999,86.881,60,12,1872,0.062,0.831,1.439802,5.761999,7.863016
2009.10.29.,17:14:40,1439.351,10.212,7870.761,10.06,5763.323,86.389,60,12,1872,0.062,0.831,1.439351,5.763323,7.870761
2009.10.29.,17:14:45,1438.481,10.209,7878.492,10.062,5765.322,85.895,60,12,1872,0.062,0.831,1.438481,5.765322,7.878492
2009.10.29.,17:14:50,1438.438,10.206,7886.717,10.058,5769.897,85.417,60,12,1872,0.062,0.831,1.438438,5.769897,7.886717
2009.10.29.,17:14:55,1438.395,10.202,7894.559,10.057,5770.034,84.983,60,12,1872,0.062,0.831,1.438395,5.770034,7.894559
2009.10.29.,17:15:00,1438.339,10.201,7902.266,10.053,5770.644,84.584,60,12,1872,0.062,0.831,1.438339,5.770644,7.902266
2009.10.29.,17:15:05,1438.337,10.199,7910.715,10.052,5771.632,84.228,60,12,1872,0.062,0.831,1.438337,5.771632,7.910715
2009.10.29.,17:15:10,1438.337,10.199,7918.045,10.051,5772.536,83.893,60,12,1872,0.062,0.831,1.438337,5.772536,7.918045
2009.10.29.,17:15:15,1438.624,10.199,7926.057,10.051,5773.35,83.554,60,12,1872,0.062,0.831,1.438624,5.77335,7.926057
2009.10.29.,17:15:20,1438.618,10.195,7934.34,10.048,5774.194,83.228,60,12,1872,0.062,0.831,1.438618,5.774194,7.93434
2009.10.29.,17:15:25,1438.621,10.197,7942.185,10.048,5775.086,82.925,60,12,1872,0.062,0.831,1.438621,5.775086,7.942185
2009.10.29.,17:15:30,1438.618,10.196,7950.014,10.05,5776,82.643,60,12,1872,0.062,0.831,1.438618,5.776,7.950014
2009.10.29.,17:15:35,1438.613,10.193,7957.851,10.046,5776.968,82.379,60,12,1872,0.062,0.831,1.438613,5.776968,7.957851
2009.10.29.,17:15:40,1438.611,10.192,7965.726,10.046,5777.994,82.13,60,12,1872,0.062,0.831,1.438611,5.777994,7.965726
2009.10.29.,17:15:45,1438.609,10.191,7973.819,10.046,5779.058,81.894,60,12,1872,0.062,0.831,1.438609,5.779058,7.973819
2009.10.29.,17:15:50,1438.675,10.187,7981.662,10.042,5780.173,81.67,60,12,1872,0.062,0.831,1.438675,5.780173,7.981662
2009.10.29.,17:15:55,1439.02,10.189,7989.552,10.042,5781.335,81.455,60,12,1872,0.062,0.831,1.43902,5.781335,7.989552
2009.10.29.,17:16:00,1439.045,10.183,7997.345,10.04,5782.509,81.249,60,12,1872,0.062,0.831,1.439045,5.782509,7.997345
2009.10.29.,17:16:05,1439.365,10.18,8005.2,10.04,5783.694,81.051,60,12,1872,0.062,0.831,1.439365,5.783694,8.0052
2009.10.29.,17:16:10,1439.665,10.177,8012.548,10.033,5784.785,80.861,60,12,1872,0.062,0.831,1.439665,5.784785,8.012548
2009.10.29.,17:16:15,1440.237,10.174,8020.557,10.033,5785.809,80.678,60,12,1872,0.062,0.831,1.440237,5.785809,8.020557
2009.10.29.,17:16:20,1440.716,10.171,8028.331,10.033,5786.774,80.503,60,12,1872,0.062,0.831,1.440716,5.786774,8.028331
2009.10.29.,17:16:25,1440.714,10.169,8036.289,10.03,5787.706,80.337,60,12,1872,0.062,0.831,1.440714,5.787706,8.036289
2009.10.29.,17:16:30,1440.711,10.168,8044.246,10.031,5788.627,80.181,60,12,1872,0.062,0.831,1.440711,5.788627,8.044246
2009.10.29.,17:16:35,1440.709,10.167,8051.949,10.024,5789.558,80.035,60,12,1872,0.062,0.831,1.440709,5.789558,8.051949
2009.10.29.,17:16:40,1440.683,10.162,8059.525,10.024,5790.469,79.898,60,12,1872,0.062,0.831,1.440683,5.790469,8.059525
2009.10.29.,17:16:45,1440.608,10.161,8067.71,10.02,5791.391,79.77,60,12,1872,0.062,0.831,1.440608,5.791391,8.06771
2009.10.29.,17:16:50,1440.584,10.157,8075.225,10.021,5792.314,79.651,60,12,1872,0.062,0.831,1.440584,5.792314,8.075225
2009.10.29.,17:16:55,1440.58,10.155,8083.11,10.017,5793.353,79.539,60,12,1872,0.062,0.831,1.44058,5.793353,8.08311
2009.10.29.,17:17:00,1441.315,10.153,8090.946,10.018,5794.496,79.435,60,12,1872,0.062,0.831,1.441315,5.794496,8.090946
2009.10.29.,17:17:05,1441.44,10.153,8098.342,10.014,5795.7,79.336,60,12,1872,0.062,0.831,1.44144,5.7957,8.098342
2009.10.29.,17:17:10,1441.447,10.147,8105.926,10.013,5796.953,79.242,60,12,1872,0.062,0.831,1.441447,5.796953,8.105926
2009.10.29.,17:17:15,1441.59,10.146,8114.225,10.008,5798.213,79.151,60,12,1872,0.062,0.831,1.44159,5.798213,8.114225
2009.10.29.,17:17:20,1442.107,10.143,8121.819,10.008,5799.458,79.064,60,12,1872,0.062,0.831,1.442107,5.799458,8.121819
2009.10.29.,17:17:25,1442.409,10.141,8129.211,10.006,5800.71,78.98,60,12,1872,0.062,0.831,1.442409,5.80071,8.129211
2009.10.29.,17:17:30,1442.882,10.134,8136.788,10.001,5802.027,78.898,60,12,1872,0.062,0.831,1.442882,5.802027,8.136788
2009.10.29.,17:17:35,1443.387,10.134,8144.563,10.002,5803.442,78.821,60,12,1872,0.062,0.831,1.443387,5.803442,8.144563
2009.10.29.,17:17:40,1444.417,10.136,8152.532,10.002,5804.827,78.747,60,12,1872,0.062,0.831,1.444417,5.804827,8.152532
2009.10.29.,17:17:45,1444.935,10.134,8160.133,10,5806.443,78.674,60,12,1872,0.062,0.831,1.444935,5.806443,8.160133
2009.10.29.,17:17:50,1445.075,10.132,8167.711,9.999,5807.552,78.607,60,12,1872,0.062,0.831,1.445075,5.807552,8.167711
2009.10.29.,17:17:55,1445.118,10.136,8175.202,10.002,5809.18,78.548,60,12,1872,0.062,0.831,1.445118,5.80918,8.175202
2009.10.29.,17:18:00,1445.45,10.14,8182.827,10.002,5810.172,78.482,60,12,1872,0.062,0.831,1.44545,5.810172,8.182827
2009.10.29.,17:18:05,1445.651,10.142,8190.258,10.005,5811.864,78.428,60,12,1872,0.062,0.831,1.445651,5.811864,8.190258
2009.10.29.,17:18:10,1445.668,10.141,8197.909,10.005,5814.681,78.385,60,12,1872,0.062,0.831,1.445668,5.814681,8.197909
2009.10.29.,17:18:15,1445.673,10.144,8205.594,10.007,5815.736,78.34,60,12,1872,0.062,0.831,1.445673,5.815736,8.205594
2009.10.29.,17:18:20,1446.231,10.144,8213.123,10.008,5818.119,78.307,60,12,1872,0.062,0.831,1.446231,5.818119,8.213123
2009.10.29.,17:18:25,1446.669,10.147,8220.525,10.009,5821.619,78.274,60,12,1872,0.062,0.831,1.446669,5.821619,8.220525
2009.10.29.,17:18:30,1446.735,10.143,8228.273,10.009,5822.256,78.243,60,12,1872,0.062,0.831,1.446735,5.822256,8.228273
2009.10.29.,17:18:35,1447.061,10.145,8235.789,10.012,5825.183,78.212,60,12,1872,0.062,0.831,1.447061,5.825183,8.235789
2009.10.29.,17:18:40,1447.076,10.143,8243.489,10.015,5827.533,78.182,60,12,1872,0.062,0.831,1.447076,5.827533,8.243489
2009.10.29.,17:18:45,1447.071,10.14,8250.786,10.01,5829.568,78.147,60,12,1872,0.062,0.831,1.447071,5.829568,8.250786
2009.10.29.,17:18:50,1447.056,10.142,8258.718,10.01,5833.13,78.111,60,12,1872,0.062,0.831,1.447056,5.83313,8.258718
2009.10.29.,17:18:55,1446.997,10.139,8265.754,10.008,5836.306,78.079,60,12,1872,0.062,0.831,1.446997,5.836306,8.265754
2009.10.29.,17:19:00,1446.979,10.139,8273.388,10.009,5838.657,78.044,60,12,1872,0.062,0.831,1.446979,5.838657,8.273388
2009.10.29.,17:19:05,1446.975,10.137,8280.571,10.006,5842.942,78.01,60,12,1872,0.062,0.831,1.446975,5.842942,8.280571
2009.10.29.,17:19:10,1446.97,10.134,8288.075,10.004,5845.466,77.976,60,12,1872,0.062,0.831,1.44697,5.845466,8.288075
2009.10.29.,17:19:15,1447.562,10.133,8295.937,10.004,5847.62,77.955,60,12,1872,0.062,0.831,1.447562,5.84762,8.295937
2009.10.29.,17:19:20,1448.351,10.131,8302.988,10.003,5852.449,77.937,60,12,1872,0.062,0.831,1.448351,5.852449,8.302988
2009.10.29.,17:19:25,1449.085,10.129,8310.649,10.003,5855.297,77.929,60,12,1872,0.062,0.831,1.449085,5.855297,8.310649
2009.10.29.,17:19:30,1449.352,10.127,8318.098,9.999,5855.976,77.918,60,12,1872,0.062,0.831,1.449352,5.855976,8.318098
2009.10.29.,17:19:35,1450.07,10.126,8325.582,9.998,5859.805,77.903,60,12,1872,0.062,0.831,1.45007,5.859805,8.325582
2009.10.29.,17:19:40,1450.374,10.125,8332.752,9.995,5862.355,77.888,60,12,1872,0.062,0.831,1.450374,5.862355,8.332752
2009.10.29.,17:19:45,1450.374,10.125,8340.325,9.995,5865.048,77.876,60,12,1872,0.062,0.831,1.450374,5.865048,8.340325
2009.10.29.,17:19:50,1450.457,10.121,8347.464,9.992,5867.39,77.874,60,12,1872,0.062,0.831,1.450457,5.86739,8.347464
2009.10.29.,17:19:55,1450.871,10.121,8355.129,9.992,5869.66,77.884,60,12,1872,0.062,0.831,1.450871,5.86966,8.355129
2009.10.29.,17:20:00,1450.874,10.123,8362.781,9.992,5872.721,77.887,60,12,1872,0.062,0.831,1.450874,5.872721,8.362781
2009.10.29.,17:20:05,1450.881,10.117,8370.423,9.99,5876.831,77.88,60,12,1872,0.062,0.831,1.450881,5.876831,8.370423
2009.10.29.,17:20:10,1451.524,10.114,8377.663,9.99,5879.285,77.873,60,12,1872,0.062,0.831,1.451524,5.879285,8.377663
2009.10.29.,17:20:15,1452.171,10.113,8384.71,9.985,5882.44,77.864,60,12,1872,0.062,0.831,1.452171,5.88244,8.38471
2009.10.29.,17:20:20,1452.298,10.114,8392.229,9.986,5885.242,77.863,60,12,1872,0.062,0.831,1.452298,5.885242,8.392229
2009.10.29.,17:20:25,1453.065,10.11,8399.568,9.981,5889.287,77.873,60,12,1872,0.062,0.831,1.453065,5.889287,8.399568
2009.10.29.,17:20:30,1453.35,10.108,8407.077,9.98,5891.966,77.889,60,12,1872,0.062,0.831,1.45335,5.891966,8.407077
2009.10.29.,17:20:35,1453.876,10.111,8414.316,9.981,5893.606,77.918,60,12,1872,0.062,0.831,1.453876,5.893606,8.414316
2009.10.29.,17:20:40,1454.003,10.111,8421.553,9.98,5895.77,77.939,60,12,1872,0.062,0.831,1.454003,5.89577,8.421553
2009.10.29.,17:20:45,1454.034,10.108,8428.924,9.982,5898.378,77.961,60,12,1872,0.062,0.831,1.454034,5.898378,8.428924
2009.10.29.,17:20:50,1454.129,10.111,8436.416,9.985,5900.991,77.986,60,12,1872,0.062,0.831,1.454129,5.900991,8.436416
2009.10.29.,17:20:55,1454.133,10.113,8443.78,9.98,5909.263,78.03,60,12,1872,0.062,0.831,1.454133,5.909263,8.44378
2009.10.29.,17:21:00,1454.148,10.111,8450.988,9.984,5910.809,78.066,60,12,1872,0.062,0.831,1.454148,5.910809,8.450988
2009.10.29.,17:21:05,1454.151,10.113,8458.11,9.982,5914.926,78.111,60,12,1872,0.062,0.831,1.454151,5.914926,8.45811
2009.10.29.,17:21:10,1454.144,10.119,8465.479,9.987,5921.755,78.155,60,12,1872,0.062,0.831,1.454144,5.921755,8.465479
2009.10.29.,17:21:15,1454.145,10.12,8472.958,9.989,5923.034,78.197,60,12,1872,0.062,0.831,1.454145,5.923034,8.472958
2009.10.29.,17:21:20,1454.123,10.118,8479.964,9.989,5927.29,78.239,60,12,1872,0.062,0.831,1.454123,5.92729,8.479964
2009.10.29.,17:21:25,1454.127,10.119,8487.173,9.991,5933.128,78.275,60,12,1872,0.062,0.831,1.454127,5.933128,8.487173
2009.10.29.,17:21:30,1454.709,10.123,8494.58,9.989,5940.202,78.309,60,12,1872,0.062,0.831,1.454709,5.940202,8.49458
2009.10.29.,17:21:35,1454.729,10.124,8501.394,9.989,5942.346,78.344,60,12,1872,0.062,0.831,1.454729,5.942346,8.501394
2009.10.29.,17:21:40,1454.997,10.123,8508.666,9.992,5947.827,78.379,60,12,1872,0.062,0.831,1.454997,5.947827,8.508666
2009.10.29.,17:21:45,1455.248,10.122,8515.69,9.991,5953.578,78.427,60,12,1872,0.062,0.831,1.455248,5.953578,8.51569
2009.10.29.,17:21:50,1455.426,10.121,8522.525,9.991,5962.466,78.486,60,12,1872,0.062,0.831,1.455426,5.962466,8.522525
2009.10.29.,17:21:55,1455.747,10.119,8529.703,9.991,5964.896,78.543,60,12,1872,0.062,0.831,1.455747,5.964896,8.529703
2009.10.29.,17:22:00,1456.834,10.123,8536.296,9.99,5968.44,78.607,60,12,1872,0.062,0.831,1.456834,5.96844,8.536296
2009.10.29.,17:22:05,1456.905,10.122,8543.331,9.994,5975.065,78.665,60,12,1872,0.062,0.831,1.456905,5.975065,8.543331
2009.10.29.,17:22:10,1456.901,10.12,8549.959,9.993,5980.19,78.717,60,12,1872,0.062,0.831,1.456901,5.98019,8.549959
2009.10.29.,17:22:15,1456.94,10.122,8556.619,9.994,5985.682,78.768,60,12,1872,0.062,0.831,1.45694,5.985682,8.556619
2009.10.29.,17:22:20,1457.497,10.121,8563.529,9.993,5989.572,78.807,60,12,1872,0.062,0.831,1.457497,5.989572,8.563529
2009.10.29.,17:22:25,1457.679,10.123,8570.06,9.994,5996.671,78.853,60,12,1872,0.062,0.831,1.457679,5.996671,8.57006
2009.10.29.,17:22:30,1458.441,10.125,8576.133,9.994,6000.337,78.907,60,12,1872,0.062,0.831,1.458441,6.000337,8.576133
2009.10.29.,17:22:35,1458.676,10.126,8583.044,9.997,6006.208,78.965,60,12,1872,0.062,0.831,1.458676,6.006208,8.583044
2009.10.29.,17:22:40,1459.114,10.129,8589.52,9.995,6010.661,79.037,60,12,1872,0.062,0.831,1.459114,6.010661,8.58952
2009.10.29.,17:22:45,1459.539,10.125,8595.939,9.997,6013.687,79.118,60,12,1872,0.062,0.831,1.459539,6.013687,8.595939
2009.10.29.,17:22:50,1459.596,10.127,8601.913,9.999,6016.048,79.189,60,12,1872,0.062,0.831,1.459596,6.016048,8.601913
2009.10.29.,17:22:55,1460.116,10.126,8608.091,9.993,6021.963,79.259,60,12,1872,0.062,0.831,1.460116,6.021963,8.608091
2009.10.29.,17:23:00,1460.494,10.126,8614.258,9.996,6024.388,79.337,60,12,1872,0.062,0.831,1.460494,6.024388,8.614258
2009.10.29.,17:23:05,1460.516,10.128,8620.167,9.993,6030.174,79.421,60,12,1872,0.062,0.831,1.460516,6.030174,8.620167
2009.10.29.,17:23:10,1460.706,10.123,8626.661,9.996,6037.369,79.507,60,12,1872,0.062,0.831,1.460706,6.037369,8.626661
2009.10.29.,17:23:15,1461.796,10.119,8632.34,9.99,6039.013,79.602,60,12,1872,0.062,0.831,1.461796,6.039013,8.63234
